UNIQUE_ID,COUNTYFP,County,Precinct,G22A01NO,G22A01YES,G22A02NO,G22A02YES,G22A03NO,G22A03YES,G22A04NO,G22A04YES,G22A05NO,G22A05YES,G22A06NO,G22A06YES,G22A07NO,G22A07YES,G22A08NO,G22A08YES,G22A09NO,G22A09YES,G22A10NO,G22A10YES,G22AGRLCLA,G22AGROWRI,G22AGRRPAT,G22AJ5DKEL,G22AJ5OWRI,G22AJ5RCOO,G22AJ6OWRI,G22AJ6RWIS,G22ATGDMAJ,G22ATGOWRI,G22ATGRMAR,G22AUDLLAC,G22AUDOWRI,G22AUDRSOR,G22CNSNO,G22CNSYES,G22GOVDFLO,G22GOVLBLA,G22GOVOWRI,G22GOVRIVE,G22LTGLPAG,G22LTGOWRI,G22LTGRAIN,G22PS1LBIS,G22PS1OWRI,G22PS1RODE,G22PS2LLAN,G22PS2OWRI,G22PS2RBEE,G22SOSDLAF,G22SOSLSHE,G22SOSOWRI,G22SOSRALL,G22TRELHAM,G22TREOWRI,G22TRERBOO,G22USSDBOY,G22USSLSOP,G22USSOWRI,G22USSRBRI,GCON01LREM,GCON01OWRI,GCON01RCAR,GCON02DHAR,GCON02LREA,GCON02OWRI,GCON02RMOO,GCON03DVEA,GCON03IBEL,GCON03LCAS,GCON03OWRI,GCON03RROG,GCON04DNEI,GCON04LCOC,GCON04OWRI,GCON04RADE,GCON05DWAR,GCON05LGRE,GCON05OWRI,GCON05RSTR,GCON06LCHI,GCON06OWRI,GCON06RPAL,GCON07DSEW,GCON07LGOO,GCON07OWRI,GCON07RNIC,GSL001OWRI,GSL001RPET,GSL002OWRI,GSL002RHAR,GSL003DTHO,GSL003OWRI,GSL003RUND,GSL004OWRI,GSL004RMOO,GSL005OWRI,GSL005RCRA,GSL006LTUR,GSL006OWRI,GSL006RWHI,GSL007DJON,GSL007LDUR,GSL007OWRI,GSL007RYAR,GSL008LWAL,GSL008OWRI,GSL008RCOL,GSL009LBOD,GSL009OWRI,GSL009RSTA,GSL010DLAN,GSL010LBOY,GSL010OWRI,GSL010RCOL,GSL011OWRI,GSL011RSHE,GSL012DFIE,GSL012OWRI,GSL012RHAR,GSL013LDAV,GSL013OWRI,GSL013RWOO,GSL014OWRI,GSL014RWAD,GSL015DROU,GSL015OWRI,GSL015RHUL,GSL016OWRI,GSL016RSOU,GSL017OWRI,GSL017REST,GSL018LSHI,GSL018OWRI,GSL018RKIE,GSL019DHAL,GSL019OWRI,GSL020OWRI,GSL020RLOM,GSL021OWRI,GSL021RREY,GSL022OWRI,GSL022RWHO,GSL023OWRI,GSL023RKIR,GSL024OWRI,GSL024RLED,GSL025DHAG,GSL025OWRI,GSL025RRIG,GSL026DALF,GSL026OWRI,GSL026RCOL,GSL027DNEU,GSL027OWRI,GSL027RKIT,GSL028OWRI,GSL028RBUT,GSL029LVAL,GSL029OWRI,GSL029RGID,GSL030OWRI,GSL030RLIP,GSL031OWRI,GSL031RSTU,GSL032DBOY,GSL032OWRI,GSL032RJAC,GSL033DCRU,GSL033OWRI,GSL033RROB,GSL034OWRI,GSL034RSTA,GSL035OWRI,GSL035RHUR,GSL036OWRI,GSL036RWOO,GSL037OWRI,GSL037RFIN,GSL038LTEM,GSL038OWRI,GSL038RWOO,GSL039OWRI,GSL039RSHA,GSL040DHOW,GSL040OWRI,GSL040RROB,GSL041DNEL,GSL041LMOR,GSL041OWRI,GSL041RELL,GSL042LWAR,GSL042OWRI,GSL042RSMI,GSL043DCLE,GSL043LBUR,GSL043OWRI,GSL043RMOO,GSL044LBOO,GSL044OWRI,GSL044RGAR,GSL045LWHI,GSL045OWRI,GSL045RDUB,GSL046OWRI,GSL046RFAU,GSL047DCOL,GSL047OWRI,GSL047RSHA,GSL048LSTU,GSL048OWRI,GSL048RCAR,GSL049OWRI,GSL049RBED,GSL050OWRI,GSL050RHIL,GSL051OWRI,GSL051RTRE,GSL052DROG,GSL052OWRI,GSL053DDAN,GSL053OWRI,GSL054DRAF,GSL054OWRI,GSL055DPLU,GSL055OWRI,GSL056DTIL,GSL056LLES,GSL056OWRI,GSL057DSEL,GSL057LJON,GSL057OWRI,GSL057RBAU,GSL058DHOL,GSL058OWRI,GSL059DMOO,GSL059OWRI,GSL060DGIV,GSL060LFRE,GSL060OWRI,GSL061LPRU,GSL061OWRI,GSL061RBOL,GSL062DCEP,GSL062OWRI,GSL062RLAM,GSL063DADA,GSL063OWRI,GSL063RALM,GSL064LMAY,GSL064OWRI,GSL064RGIV,GSL065DCAS,GSL065OWRI,GSL065REAS,GSL066OWRI,GSL066RBAK,GSL067DCHE,GSL067OWRI,GSL068DJAC,GSL068OWRI,GSL068RKEL,GSL069DLAW,GSL069OWRI,GSL069RMAD,GSL070DENG,GSL070OWRI,GSL071DMCC,GSL071OWRI,GSL072DTRA,GSL072OWRI,GSL073OWRI,GSL073RPAS,GSL074DENS,GSL074OWRI,GSL074RMEA,GSL075OWRI,GSL075RING,GSL076DMCC,GSL076LMAN,GSL076OWRI,GSL077DMOR,GSL077OWRI,GSL078DHAS,GSL078OWRI,GSL079LFRI,GSL079OWRI,GSL079RLOV,GSL080OWRI,GSL080RBLA,GSL081OWRI,GSL081ROLI,GSL082DWAR,GSL082OWRI,GSL082RPIE,GSL083DGRA,GSL083OWRI,GSL084DFOR,GSL084OWRI,GSL085DGRI,GSL085OWRI,GSL085RREH,GSL086OWRI,GSL086RLEE,GSL087OWRI,GSL087RSOR,GSL088LMAY,GSL088OWRI,GSL088RSTA,GSL089OWRI,GSL089RPAR,GSL090OWRI,GSL090RSEL,GSL091OWRI,GSL091RMAR,GSL092DHUB,GSL092OWRI,GSL092RHAM,GSL093OWRI,GSL093RCLO,GSL094LHEL,GSL094OWRI,GSL094RFID,GSL095DBRA,GSL095OWRI,GSL095RHOL,GSL096OWRI,GSL096RSIM,GSL097DCLA,GSL097OWRI,GSL098DBRA,GSL098OWRI,GSL099DJON,GSL099OWRI,GSL100LWAR,GSL100OWRI,GSL100RSHI,GSL101OWRI,GSL101RPRI,GSL102OWRI,GSL102RSTR,GSL103DDRU,GSL103OWRI,GSL104LDEA,GSL104OWRI,GSL104RWIL,GSL105LLEW,GSL105OWRI,GSL105RBRO,GSU01OWRI,GSU01RMEL,GSU02DLEW,GSU02OWRI,GSU02RBUT,GSU03LCHA,GSU03OWRI,GSU03RORR,GSU04OWRI,GSU04RGUD,GSU05OWRI,GSU05RREE,GSU06LRIC,GSU06OWRI,GSU06RSTU,GSU07DWIL,GSU07OWRI,GSU07RGIV,GSU08OWRI,GSU08RLIV,GSU09OWRI,GSU09RSCO,GSU10OWRI,GSU10RJON,GSU11OWRI,GSU11RBEL,GSU12DMCC,GSU12OWRI,GSU12RKEL,GSU13OWRI,GSU13RPRI,GSU14OWRI,GSU14RWEA,GSU15LCRU,GSU15OWRI,GSU15RROB,GSU16OWRI,GSU16RWAG,GSU17LFOR,GSU17OWRI,GSU17RSHE,GSU18DSMI,GSU18OWRI,GSU19DCOL,GSU19LWIL,GSU19OWRI,GSU20DCOL,GSU20OWRI,GSU21DWAR,GSU21OWRI,GSU21RALL,GSU22OWRI,GSU22RALB,GSU23DSTE,GSU23LSHE,GSU23OWRI,GSU23RNIM,GSU24DSIN,GSU24LBEN,GSU24OWRI,GSU25LWOO,GSU25OWRI,GSU25RBAR,GSU26DHAT,GSU26OWRI,GSU27DREE,GSU27OWRI,GSU27RHOV,GSU28DBEA,GSU28LBOA,GSU28OWRI,GSU29DMAT,GSU29LMCB,GSU29OWRI,GSU29RCHE,GSU30OWRI,GSU30RCHA,GSU31OWRI,GSU31RCAR,GSU32OWRI,GSU32RELL,GSU33DFIG,GSU33OWRI,GSU33RRIE,GSU34OWRI,GSU34RWIL,GSU35LHUD,GSU35OWRI,GSU35RSES
Jefferson-:-PREC 1010 - HUFFMAN BAPTIST CH,073,Jefferson,PREC 1010 - HUFFMAN BAPTIST CH,696,1491,519,1609,540,1627,617,1481,502,1539,555,1494,392,1675,421,1512,406,1628,374,1664,480,43,517,1896,3,449,95,627,1887,2,461,472,50,520,346,1747,1852,34,6,464,536,37,523,485,42,512,490,45,500,1879,43,0,433,491,48,518,1864,39,1,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,33,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1963,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson-:-PREC 1020 - TOM BRADFORD PARK,073,Jefferson,PREC 1020 - TOM BRADFORD PARK,431,1311,353,1333,386,1323,431,1238,494,1148,574,1063,341,1281,399,1115,394,1212,385,1242,442,30,456,1480,1,409,81,581,1477,2,424,422,31,475,265,1434,1428,25,10,439,467,29,472,433,29,461,450,31,443,1462,27,0,409,449,31,469,1458,28,2,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,27,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson-:-PREC 1030 - L_M_ SMITH MIDDLE,073,Jefferson,PREC 1030 - L_M_ SMITH MIDDLE,430,1047,342,1087,389,1070,423,999,442,956,435,957,273,1134,374,939,363,1051,329,1044,410,28,183,1392,2,158,89,307,1388,0,168,399,31,191,206,1212,1368,25,1,168,424,29,209,396,33,187,400,30,182,1388,22,1,149,405,32,187,1372,25,1,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,32,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1406,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson-:-PREC 1040 - BETHEL BAPTIST CHU,073,Jefferson,PREC 1040 - BETHEL BAPTIST CHU,622,813,246,1156,351,1071,371,1029,327,1053,340,1043,254,1145,264,1052,268,1122,227,1140,253,34,51,1518,1,29,74,126,1523,0,28,250,35,54,211,1160,1502,8,1,43,275,21,64,254,35,48,244,34,56,1507,14,1,28,256,35,58,1504,12,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,12,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson-:-PREC 1060 - SUN VALLEY ELEMENT,073,Jefferson,PREC 1060 - SUN VALLEY ELEMENT,496,1111,387,1172,444,1148,489,1064,425,1079,424,1089,299,1208,373,1002,358,1145,308,1192,357,31,243,1487,0,202,92,324,1486,0,207,356,34,248,242,1278,1443,31,3,219,412,30,254,367,27,237,366,31,239,1475,17,0,197,366,33,247,1472,12,4,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,33,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1516,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson-:-PREC 1065/4060 - CENTER POINT,073,Jefferson,PREC 1065/4060 - CENTER POINT,425,1135,387,1104,377,1140,421,1060,427,1013,527,933,317,1138,368,979,365,1081,359,1083,382,27,363,1322,2,326,94,466,1319,3,331,376,27,367,233,1250,1290,30,7,328,408,25,375,373,24,360,391,26,344,1299,32,1,317,391,25,364,1297,31,2,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,20,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,3,1086,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson-:-PREC 1070 - CRESTWAY BAPTIST C,073,Jefferson,PREC 1070 - CRESTWAY BAPTIST C,546,990,369,1112,608,898,621,811,261,1104,322,1037,211,1173,235,896,222,1145,166,1217,473,26,464,1178,3,419,111,554,1208,4,406,520,30,441,134,1366,983,115,80,437,572,50,445,514,29,424,542,26,415,1156,72,1,392,488,33,476,1152,50,5,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,77,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson-:-PREC 1090 - FORESTDALE SQUARE,073,Jefferson,PREC 1090 - FORESTDALE SQUARE,575,799,367,962,434,907,456,864,315,984,338,979,223,1092,259,989,271,1033,240,1066,287,21,164,1351,1,137,56,243,1339,0,151,277,24,174,255,1064,1325,16,1,151,306,23,177,275,22,175,280,25,163,1335,10,1,147,285,24,176,1333,14,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353,13,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson-:-PREC 1100 - SOUTH HAMPTON ELEM,073,Jefferson,PREC 1100 - SOUTH HAMPTON ELEM,280,592,195,645,239,615,248,594,215,593,199,625,152,677,183,600,183,646,160,650,154,18,29,948,1,14,37,61,947,0,17,151,18,34,138,706,945,5,2,14,169,17,41,150,16,31,152,15,30,946,5,0,13,152,17,38,939,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson-:-PREC 1110 - DON HAWKINS PARK &,073,Jefferson,PREC 1110 - DON HAWKINS PARK &,418,801,294,874,332,845,394,764,255,873,279,850,175,940,212,795,223,911,159,957,312,25,337,958,1,316,71,400,956,2,325,310,27,342,153,1024,884,56,16,320,331,25,337,303,25,339,327,26,325,942,40,3,291,308,32,351,945,33,1,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,23,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
